Grade,Chapter,Context,Question,CorrectAnswer,UniquePart,Difficulty
10,Ancient Science and Technology in Sri Lanka,"Water was carried through this to the tanks such as Minneriya, Giritale, Kawudulla and Kantale.",What are some examples of tanks made in ancient times?,"Minneriya, Giritale, Kawudulla, and Kantale.","Minneriya, Giritale, Kawudulla, and Kantale.",Hard
10,Ancient Science and Technology in Sri Lanka,There was another canal built barricading the Mahaveli River in Minipe area to carry water up to Polonnaruwa.,What are examples for ponds dug and made for the use of monks who stayed in temples and monasteries?,"Kuttam Pokuna, Kumara Pokuna, Eth Pokuna","Kuttam Pokuna, Kumara Pokuna, Eth Pokuna",Medium
10,Ancient Science and Technology in Sri Lanka,A major procedure is that they followed a systematic method in digging wells for drinking water. Large sized clay pots were put into the well and covered the walls of the well with them.,What method did ancient people use to dig wells for drinking water?,They followed a systematic method.,systematic method,Medium
10,Ancient Science and Technology in Sri Lanka,Large sized clay pots were put into the well and covered the walls of the well with them.These wells are known as Uraketa Lin.,What is the name of wells which has large sized clay pots were put into the well and covered the walls of the well with them?,Uraketa Lin.,Uraketa Lin.,Easy
10,Ancient Science and Technology in Sri Lanka,The fountains which can be seen in the Western park of Sigiriya are one of the greatest creations.,What is one of the greatest creations that can be seen in the Western park of Sigiriya?,The water fountains.,The water fountains.,Medium
10,Ancient Science and Technology in Sri Lanka,"The basic theory followed there is lifting water abruptly, which pours down from an approximate height of 600 feet through a system of gutters to the flat land, by using pressure.",How does the basic theory of the fountain system work?,"The basic theory followed there is lifting water abruptly, which pours down from an approximate height of 600 feet through a system of gutters to the flat land, by using pressure.",Lifting water abruptly,Hard
10,Ancient Science and Technology in Sri Lanka,The system of gutters in the Sigiriya water park have been made spirally in a way which makes water flow for a long distance in a low slope by allowing the alluvial... to sink down with the help of natural gravitation power.,How do the gutters in the Sigiriya water park facilitate water flow?,The gutters have been designed spirally to allow water to flow for a long distance in a low slope by utilizing natural gravitation power.,utilizing Natural gravitation power,Hard
10,Ancient Science and Technology in Sri Lanka,The road engineers of that time built bridges out of granites to cross the Malvathu Oya flowing across Anuradhapura.,What material were the bridges built with in ancient Anuradhapura?,Granites.,Granites.,Easy
10,Ancient Science and Technology in Sri Lanka,"...buildings found in Anuradhapura such as Jethvanaramaya, Abhayagiriya, Ruwanweli Seya, and several storeyed Lovamahapaya.",What are some notable buildings found in Anuradhapura?,"Jethvanaramaya, Abhayagiriya, Ruwanweli Seya, and Lovamahapaya.","Jethvanaramaya, Abhayagiriya, Ruwanweli Seya, and Lovamahapaya.",Medium
10,Ancient Science and Technology in Sri Lanka,In historical sources that tool is introduced in the name of Vajra chumbata.,What is the name given to the  lightning conductor to get protection from lightning in historical sources?,'Vajra chumbata'.,Vajra chumbata.,Medium
10,Ancient Science and Technology in Sri Lanka,Vajra is the lightning which is an electric current generated naturally.,What is the word Vajra means ?,An electric current generated naturally.,Electric current generated,Medium
10,Ancient Science and Technology in Sri Lanka,The word Chumbata has derived from the word chumbaka (magnetic). Its meaning is Kandama. In Sinhalese language Kandama means attract or cling.,"What is the meaning of the word ""Chumbata"" in the Sinhalese language?",ëKandamaí means ëattractí or ëclingí,ëKandamaí means ëattractí or ëclingí,Medium
10,Ancient Science and Technology in Sri Lanka,The electricity created by lightning is known as static electricity.,What is the electricity created by lightning called?,'Static electricity'.,'static electricity'.,Easy
10,Ancient Science and Technology in Sri Lanka,Ruwanweli Seya was constructed by king Dutugemunu. It was the biggest Stupa constructed by that time.,Who built the Ruwanweli Seya Stupa?,King Dutugemunu.,King Dutugemunu,Easy
10,Ancient Science and Technology in Sri Lanka,"According to it, first the earth of the place, where the Stupa was due to be built, had been dug in seven Riyanas (cubits) deep.",What was the depth of the earth dug before building the Ruwanweli Seya Stupa?,Seven Riyanas  deep.,Seven Riyanas deep,Medium
10,Ancient Science and Technology in Sri Lanka,"Secondly, using strong men lime stones were brought, put them into the pit, broken them into pieces, poured water and trampled them well using tuskers wearing shoes made of animal skin.",What was done to the lime stones in the pit of Foundation of Ruwanweli Seya?,"They were broken into pieces, poured water, and trampled well using tuskers wearing shoes made of animal skin.","Broken into pieces, poured water, and trampled well using tuskers wearing shoes made of animal skin.",Hard
10,Ancient Science and Technology in Sri Lanka,"Thirdly, a type of clay named Wendaru was laid among those stones to reinforce them.",What was laid among the stones to reinforce them in the foundation of Ruwanweli Seya?,A type of clay named Wendaru.,A type of clay named Wendaru.,Medium
10,Ancient Science and Technology in Sri Lanka,A layer of crystal was laid on the gravel layer.,What was laid on the gravel layer of Ruwanweli seya foundation?,A layer of crystal.,Layer of crystal.,Medium
10,Ancient Science and Technology in Sri Lanka,A type of clay named ' Navaneetha was smeared on that stone layer.,What was the name of the clay type smeared on the stone layer of Ruwanweli seya foundation?,A type of clay named 'Navaneetha'.,Navaneetha' ,Medium
10,Ancient Science and Technology in Sri Lanka,"Next, an iron net smeared with wood apple gum dissolved with a chemical fluid was laid upon it.",What is the final layer of foundation of Ruwanweli Seya?,stones named ëRansiriyalí soaked with sesame oil,stones named ëRansiriyalí soaked with sesame oil,Medium
10,Ancient Science and Technology in Sri Lanka,The best example that can be given for this is the city plan of Sigiriya and its park complex.,What is a notable example of a city plan and its park complex?,The city plan of Sigiriya and its park complex.,city plan of Sigiriya,Easy
10,Ancient Science and Technology in Sri Lanka,The Sigiriya rock is 200 metres in height from its surrounding valley.,What is the height of the Sigiriya rock from its surrounding valley?,200 metres,200 metres,Medium
10,Ancient Science and Technology in Sri Lanka,"The extent of the top of the rock, on which ruins of a palace could be seen, is approximately three hectares.",What is the approximate size of the top of the Sigiriya rock where ruins of a palace can be seen?,Three hectares.,approximately three hectares,Hard
10,Ancient Science and Technology in Sri Lanka,The brick walls which have been constructed around the city complex for its security is approximately 10 kilometres.,What is the approximate length of the brick walls constructed around the city complex in Sigiriya for security?,10 kilometres.,10 kilometres.,Medium
10,Ancient Science and Technology in Sri Lanka,"Apart from this, the entire length of the moats made around the Sigiriya rock is 8 kilometres.",What is the total length of the moats made around the Sigiriya rock?,8 kilometres.,8 kilometres.,Medium
10,Ancient Science and Technology in Sri Lanka,"In 1982 the archaeologists were able to find some significant evidences regarding this. They were found when the ancient land, called Alahana Pirivena situated in Polonnaruwa,  with ruins, was excavated. In that place ruins of an ancient hospital emerged. ",What was the location that archaeologists were able to find ruins of an ancient hospital?,Alahana Pirivena situated in Polonnaruwa,Alahana Pirivena,Easy
10,Ancient Science and Technology in Sri Lanka,There was a hospital building of 147.5 feet in width and 109.2 feet in length.,What is the length of the ancient hospital building discovered in 1982?,109.2 feet,109.2 feet,Hard
10,Ancient Science and Technology in Sri Lanka,The instruments which were used for complex surgeries too were there among the things discovered from the place.,What were found among the things discovered from the ancient hospital?,Instruments used for complex surgeries.,Instruments for complex surgeries.,Medium
10,Ancient Science and Technology in Sri Lanka,The lavatory systems used in the palaces were prepared to send the waste to a very deep pit.,What was the purpose of the lavatory systems in ancient palaces?,They were prepared to send the waste to a very deep pit.,Send waste to pit,Hard
10,Ancient Science and Technology in Sri Lanka,Special tubes were fixed in bathing ponds to pump the polluted water out.,What was done to the bathing ponds to improve their water quality in ancient times?,Special tubes were fixed to pump out polluted water.,Special tubes were fixed,Medium
10,Ancient Science and Technology in Sri Lanka,Mahawamsa mentions that there were seven lavatories built in comparison to the buildings at the Alahana monastery (Pirivena).,What is mentioned in the Mahawamsa regarding the hygiene in  Alahana monastery ?,Seven lavatories were built in comparison to the buildings.,Seven lavatories built,Medium
10,Ancient Science and Technology in Sri Lanka,The archaeologists were able to discover a piece of iron- slag from a tomb dated in 2400 B.C. in Beragala in the Uva province.,"What was discovered in the tomb in Beragala, Uva province, dated 2400 B.C.?",A piece of iron-slag.,Iron-slag ,Medium
10,Ancient Science and Technology in Sri Lanka,The first one among them is the iron melting furnaces found in the Samanala Wewa area in Balangoda in the Sabaragamuwa province.,What is the first one among the ancient structures found in the Samanala Wewa area?,The iron melting furnaces.,Iron melting furnaces,Medium
10,Ancient Science and Technology in Sri Lanka,Iron melts at 1538 degree Celsius.,At what temperature does iron melt?,1538 degree Celsius,1538 degree Celsius,Hard
10,Ancient Science and Technology in Sri Lanka,Iron leaching in Samanala Wewa has been done in third century B.C.,When was iron leaching done in Samanala Wewa?,In the third century B.C.,Third century B.C.,Medium
10,Ancient Science and Technology in Sri Lanka,The natural wind power has been used to inflame the furnaces used for melting.,How was inflame the furnaces in ancient Sri lanka?,The furnace was heated using natural wind power.,Natural wind power,Medium
10,Ancient Science and Technology in Sri Lanka,The furnaces built in a mountain-face would flame for nearly about 12 hours without extinguishing with the help of the wind blowing between the hills.,What was the duration for which the furnaces in the mountain-face continued to flame without extinguishing?,Nearly 12 hours.,Nearly 12 hours,Medium
10,Ancient Science and Technology in Sri Lanka,"To inflame those furnaces, they had used the cinders taken by burning the trees called Maran.",What were used to inflame the furnaces?,The cinders taken by burning the trees called 'Maran'.,Burning Maran trees,Medium
10,Ancient Science and Technology in Sri Lanka,"The stones, which were used in Samanala Wewa to leach iron, are the types introduced in the terms Limonite and Hematite in chemistry.",What types of stones were used in Samanala Wewa to leach iron?,Limonite and Hematite.,Limonite and Hematite.,Medium
10,Ancient Science and Technology in Sri Lanka,The wind power to inflame the furnaces in Dehigahaelakanda area has been provided with the help of bellows.,How did the furnaces in Dehigahaelakanda area get their power?,The wind power was provided with the help of bellows.,The wind power was provided with the help of bellows.,Hard
10,Ancient Science and Technology in Sri Lanka,"Alakolawewa, Dehigaha Elakanda area close to Sigiriya which belongs to the Central province. ",Where is the Alakolawewa located at?,close to Sigiriya which belongs to the Central province,Sigiriya which belongs to the Central province,Medium
10,Ancient Science and Technology in Sri Lanka,The golden jewellery found in the excavations in Jethawanaya can be taken as the best example for the technology of making various jewellery. It is a part of a pendant as small as a paddy seed. There had been 21 flowery carvings on it.,What is an example of the technology of making various jewelry ?,The golden jewelry found in the excavations in Jethawanaya.,golden jewelry found in the excavations in Jethawanaya,Hard
10,Ancient Science and Technology in Sri Lanka,"And also, the coloured roof tiles discovered in Abhayagiriya excavations reflect the advancement of the ancient clay industry in this country.",What is reflected in the coloured roof tiles discovered in Abhayagiriya excavations?,The advancement of the ancient clay industry in Sri Lanka.,The advancement of the ancient clay industry in Sri Lanka.,Medium
10,Ancient Science and Technology in Sri Lanka,...it seems that there was a vast advancement in the forging industry.,"How was the ""Kempahan"" performed in ancient times?",performing a Pooja by lighting one votive lamp or several lamps with a certain oil (Mee or Sesame),performing a Pooja by lighting one votive lamp,Hard
10,Ancient Science and Technology in Sri Lanka,"Apart from this, a simple practice called Kempahanù was performed to solve day- to-day problems. What they do normally here is that performing a Pooja by lighting one votive lamp or several lamps with a certain oil (Mee or Sesame). This method was followed by our ancient people to prevent the threat of insects to their crops or to cure some diseases infected to cattle.","What is the simple practice called ""Kempahan"" used for?",To solve day-to-day problems.,"""Kempahan"" day-to-day problems",Medium
10,Ancient Science and Technology in Sri Lanka,"In later analysis, it was revealed that the place had been used to perform Kirimadu Shantikarmaya. It is performed for cattles protection. According to scientific dating, that Devala had belonged to third century A.D.","What was the purpose of the ""Kirimadu Shantikarmaya"" performed at the Devala?",It was performed for cattle's protection.,for Cattle's protection,Medium
10,Ancient Science and Technology in Sri Lanka,One indicator which shows that there exists scientific knowledge in a certain society is that there is a methodology to measure the physical situations which belong to the nature.,What does displays the presence of a methodology to measure physical situations about the ancient society?,existance of  scientific knowledge,existance of  scientific knowledge,Hard
10,Ancient Science and Technology in Sri Lanka,"They used the measurements such as, Kiriya, Amuna, Karisaya, Pela.",What are the measurements for farming used by  our ancient people?,"Kiriya, Amuna, Karisaya, and Pela.","Kiriya, Amuna, Karisaya, and Pela.",Medium
10,Ancient Science and Technology in Sri Lanka,One Karisa is equal to four Amunas.,What is the conversion rate of Karisa to Amunas?,One Karisa is equal to four Amunas.,One Karisa is equal to four Amunas.,Hard
10,Ancient Science and Technology in Sri Lanka,One Amuna is equal to two acres field.,What is the equivalent of one Amuna in terms of land measurement?,Two acres.,Two acres.,Hard
10,Ancient Science and Technology in Sri Lanka," An inscription, which was established by King Kootatakannabhaya, found in the area named Horiwila in Anuradhapura, says that a plot of land of eight Karisa was offered to a temple named Tissa in that area.",Where is the location of inscription says that a plot of land of eight Karisa was offered to a temple named Tissa  ?,Horiwila in Anuradhapura,Horiwila in Anuradhapura,Medium
10,Ancient Science and Technology in Sri Lanka,The smallest one of that was the atom. It was a small one.,What is the smallest unit of matter ?,An atom.,An atom.,Easy
10,Ancient Science and Technology in Sri Lanka,"To measure short distances, there were measurements such as Angulaya and Viyatha.",What were the measurements used to measure short distances in ancient times?,Angulaya and Viyatha.,Angulaya and Viyatha.,Medium
10,Ancient Science and Technology in Sri Lanka,A Viyatha consists of 9 inches.,What is the length of a Viyatha?,9 inches,9 inches,Hard
10,Ancient Science and Technology in Sri Lanka,"The measurements like Gawwa, Yoduna and Usaba were used to measure long distances.",What were used to measure long distances in ancient times?,"The measurements like Gawwa, Yoduna and Usaba.","Gawwa, Yoduna and Usaba",Medium
10,Ancient Science and Technology in Sri Lanka,King Nissankamalla ordered to erect posts to mark every distance of Gawwa.,Which king ordered to erect posts to mark every distance of Gawwa?,King Nissankamalla,King Nissankamalla,Medium
10,Ancient Science and Technology in Sri Lanka,"According to the pillar inscription of Soraborawewa, it was prohibited to use weights, scales and measuring units which were not approved by the government.",What was prohibited by the government about the measurements according to the pillar inscription of Soraborawewa?,"The use of weights, scales, and measuring units not approved by the government.","The use of weights, scales, and measuring units not approved by the government.",Hard
10,Ancient Science and Technology in Sri Lanka,The term Varshaya was used to measure a long time period.,What was the term used to measure a long time period?,Varshaya'.,Varshaya'.,Medium
10,Ancient Science and Technology in Sri Lanka,It was based on a method of months according to the lunar cycle.,What was the ancient calendar based on?,The lunar cycle.,Lunar cycle.,Easy
10,Ancient Science and Technology in Sri Lanka,These two parts were introduced as Purapakshaya and Awapakshaya respectively.,What are the two parts of moon used in time measuring ?,Purapakshaya' and 'Awapakshaya'.,Purapakshaya' and 'Awapakshaya'.,Medium
10,Ancient Science and Technology in Sri Lanka,The eastern term Vasa or Havajara has been used to name a time period of twelve months in the inscriptions.,What is the term used to name a time period of twelve months in the inscriptions?,The eastern term 'Vasa' or 'Havajara'.,'Vasa' or 'Havajara',Medium
10,Ancient Science and Technology in Sri Lanka,The present term Avurudu has derived from the ancient term Havajara (Havajara > Havurudu > Avurudu).,"What is the origin of the term ""Avurudu""?","The term ""Avurudu"" has derived from the ancient term ""Havajara"".","""Havajara""",Medium
10,Ancient Science and Technology in Sri Lanka,The term Thithiya was used to mean a day.,"What did the term ""Thithiya"" mean in ancient time?",A day.,A day.,Easy
10,Ancient Science and Technology in Sri Lanka,The term Mohotha (moment) has derived from the term Muhurtha.,"What is the origin of the term ""Mohotha""?","The term ""Mohotha"" has derived from the term ""Muhurtha"".","""Muhurtha""",Medium
10,Ancient Science and Technology in Sri Lanka,They were able to find a bronze lamp from the Stupa.,What did archeologists found in the Dedigama Suthighara Stupa?,A bronze lamp.,Bronze lamp,Easy
10,Ancient Science and Technology in Sri Lanka,The special feature of this lamp is that it has been made to pour the oil into the abdomen of the tusker. It is the storehouse of oil.,What is the special feature of this lamp found in Dedigama?,It has been made to pour the oil into the abdomen of the tusker.,It has been made to pour the oil into the abdomen of the tusker.,Hard
10,Ancient Science and Technology in Sri Lanka,"A scientific theory has been followed here. It belongs to the non-motile hydrology. Here, the oil regulation occurs automatically.",What is the technology used in Dedigama Elephant Lamp?,Non-motile hydrology.,Non-motile hydrology.,Medium
10,Ancient Science and Technology in Sri Lanka,The two terms science and technology mean realizing the fundamentals prevailing in nature and creating strategies to act accordingly.,What Dedigama Elephant lamp indicate about ancient times?,Sri Lankan engineers had on fundamentals of complex physics,Sri Lankan engineers had on fundamentals of complex physics,Hard
10,Ancient Science and Technology in Sri Lanka,The science invented by the Easterners is as important as the science got developed in Western countries.,What is the significance of Eastern science compared to Western science?,The science invented by the Easterners is as important as the science got developed in Western countries.,Eastern science is important,Hard
10,Ancient Science and Technology in Sri Lanka,The sluice gate technology in Sri Lanka spread in the South Asia.,Where did the sluice gate technology spread in South Asia?,In Sri Lanka.,In Sri Lanka,Easy
10,Ancient Science and Technology in Sri Lanka,"The word ëThathaí has been mentioned in an inscription, established by king  Abhaya, found in the place called Rajagala in present day Batticaloa district.",In which inscription the word ëThathaí has been mentioned?,Rajagala,Rajagala,Medium
10,Ancient Science and Technology in Sri Lanka,"The measurements like Gawwa, Yoduna and Usaba were used to measure long distances.",What were used to measure long distances in the past?,"The measurements like Gawwa, Yoduna and Usaba.","Gawwa, Yoduna and Usaba",Medium
10,Ancient Science and Technology in Sri Lanka,The rituals and customs prevailing among our villagers were invented by themselves to solve their problems. It is another system of knowledge.,What is the origin of the rituals and customs in the village?,They were invented by the villagers themselves to solve their problems.,invented by themselves,Hard
10,Ancient Science and Technology in Sri Lanka,This is a performance of Shantikarma done wishing for the security of cattle and success of agricultural activities commonly.,What is the purpose of the performance of 'Shantikarma' in ancient times?,The purpose is to wish for the security of cattle and success of agricultural activities.,Security of cattle and success of agricultural activities,Medium
10,Ancient Science and Technology in Sri Lanka,It is done primarily on an indigenous god named Mangara.,"What is the primary subject of the ritual ""Kirimadu""?",An indigenous god named 'Mangara'.,Indigenous god named 'Mangara',Hard
10,Ancient Science and Technology in Sri Lanka,This is a practice common to Sabargamuwa province.,"Where did the 'kirimadu"" ritual mostly done?", Sabargamuwa province.,Sabargamuwa,Hard
10,Ancient Science and Technology in Sri Lanka,Clay Tub burials were made to cremate the dead people.,What was the purpose of Clay Tub burials?,To cremate the dead people.,To cremate the dead,Medium
10,Ancient Science and Technology in Sri Lanka,28000 years ago symmetrical stone tools were made up of alabaster named ground-glass.,"What was the material used to make symmetrical stone tools 28,000 years ago?",Alabaster.,Alabaster.,Easy
10,Ancient Science and Technology in Sri Lanka,The early stages of applied science were reflected in the prehistoric age and it became matured in the proto-historic age that came next.,What was the stage of applied science that came after the prehistoric age?,The proto-historic age.,Proto-historic age,Medium
10,Ancient Science and Technology in Sri Lanka,"Bisokotuwa (sluice gate) is also a one part of the sluice. It means the rectangular space made of stones, from which water flows out from the tank.",What is the rectangular space made of stones in a sluice gate?,It is the space from which water flows out from the tank.,It is the space from which water flows out from the tank.,Hard
10,Ancient Science and Technology in Sri Lanka,"Specially, what related to it is the understanding of the behaviour of the water well. That characteristic is known as the clearness of water.",What is the characteristic of water known as in the context of understanding the behavior of a water well?,The characteristic is known as the 'clearness of water'.,'clearness of water',Medium
10,Ancient Science and Technology in Sri Lanka,There is a reference about an officer named Adika in an inscription which belongs to the 2nd century B.C. He was a one who engaged himself in constructing canals.,Who was mentioned in an inscription from the 2nd century B.C. as engaged  in constructing canals?,Adika.,Adika.,Medium
10,Ancient Science and Technology in Sri Lanka,"Constructing Elahera Ela barricading the Amban River, which was a tributary of the Mahaweli River, was a huge canal built in ancient time.",What was constructed along the Amban River in ancient times?,Alahera Ela, Elahera Ela,Medium
10,Ancient Science and Technology in Sri Lanka,The word Dvithwa Vedika Godanegily (Bi-platform buildings)ù is also used to name Padhanaghara.,"What is another name for ""Padhanaghara""?","""Dvithwa Vedika Godanegily "".","""Dvithwa Vedika Godanegily""",Hard
10,Ancient Science and Technology in Sri Lanka,These were ancient buildings used by the Buddhist monks to be engaged in deep meditations.,What were the ancient buildings used for by the Buddhist monks?,They were used for deep meditations.,deep meditations,Hard
10,Ancient Science and Technology in Sri Lanka,The meaning of the Sanskrit word Pooga is a council or a panel consisting of some people.,What is the meaning of the Sanskrit word 'Pooga'?,A council or a panel consisting of some people.,A council or a panel consisting of some people.,Hard
10,Ancient Science and Technology in Sri Lanka,"The book Ajayib Al- Hind, written by a person called Iban Shahriar in 953 A.D. mentions that when Prophet Mohammed, the leader of Islamic religion, was alive, a group of people from Sarandib had arrived in Arab to get a clear idea of his doctrine.","Who wrote the book ""Ajayib Al-Hind"" in 953 A.D.?",Iban Shahriar,Iban Shahriar,Medium
10,Historical Knowledge and Its Practical Application,"When the social organization is unstable, its law, ethics and values get destroyed. As a result, that society becomes disharmonious.",What happens to a society when its organization is unstable?,"Its law, ethics, and values get destroyed.","Its law, ethics, and values get destroyed.",Hard
10,Historical Knowledge and Its Practical Application,Having an order in personal relationships is one of the major characteristics in a social organization. It is called hierarchy.,What is one of the major characteristics in a social organization?,Having an order in personal relationships is one of the major characteristics in a social organization. It is called hierarchy.,Having an order,Medium
10,Historical Knowledge and Its Practical Application,"If it is a hierarchy in which the power goes down from up, it is called a vertical hierarchy.",What is a vertical hierarchy characterized by?,The power going down from up.,Power goes down from up.,Easy
10,Historical Knowledge and Its Practical Application,Such a structure is called a horizontal hierarchy.,What is the term for a structure with a flat organization?,Such a structure is called a horizontal hierarchy.,Horizontal hierarchy,Medium
10,Historical Knowledge and Its Practical Application,The king is at the top of this social hierarchy.,Who is at the top of the social hierarchy?,The king.,The king,Easy
10,Historical Knowledge and Its Practical Application,...the word Nara Isera had been inscribed in an inscription... to show that the king was an Eshwaraù to the countrymen.,"What was the purpose of inscribing the word ""Nara Isera"" in an inscription in the Dambulla temple?","To show that the king was an ""Eshwara"" to the countrymen.","""Eshwara to the countrymen""",Medium
10,Historical Knowledge and Its Practical Application,The term Radkol Samdaruù had been used to name such officers.,What was the term used to name who worked close to the king?,"""Radkol Samdaru"".","""Radkol Samdaru"".",Easy
10,Historical Knowledge and Its Practical Application,"The Buddhist clergy was at a top position in the social organization, as they advised the government. Sometimes they participated in the affairs of country ruling.",What was the position of the Buddhist clergy in the social organization?,"They were at a top position, advising the government.","Top position in government,advising the government",Medium
10,Historical Knowledge and Its Practical Application,The kings acted to hand over the authority to the Buddhist temples to collect taxes from the tanks in the 1st and 2nd centuries A.D.,Who collected taxes in the 1st and 2nd centuries A.D.?,Buddhist temples.,Buddhist temples,Medium
10,Historical Knowledge and Its Practical Application,"The rich merchants, naval captains, doctors, and teachers were considered to be the chieftains of the society from ancient time.",Who were considered the chieftains of society in ancient times?,"The rich merchants, naval captains, doctors, and teachers.","The rich merchants, naval captains, doctors, and teachers.",Medium
10,Historical Knowledge and Its Practical Application,One group of them were slaves from lineage. They were named as Anwayathadasa.,What was the term used to name slaves from lineage in ancient times?,Anwayathadasa,Anwayathadasa,Medium
10,Historical Knowledge and Its Practical Application,There were mercenary slaves too those days. The term Dhanankeethadasa was used to name them.,What was the term used to name mercenary slaves in ancient times?,'Dhanankeethadasa'.,'Dhanankeethadasa',Medium
10,Historical Knowledge and Its Practical Application,The law and tradition control the anti-social behaviours of people for the benefit of the society.,What is the purpose of law and tradition in controlling anti-social behaviors?,For the benefit of the society.,For the benefit of society,Hard
10,Historical Knowledge and Its Practical Application,The principles which are formed by a society are of two types. Some of them are systems of written laws. Other social acceptances are traditional.,What are the two types of principles formed by a society?,"Some are systems of written laws, while others are traditional social acceptances.","Some are systems of written laws, while others are traditional social acceptances.",Hard
10,Historical Knowledge and Its Practical Application,"Here the word Wadala means the 'legislature', which is the kings court.","What does the word ""Wadala"" mean in inscriptions?","The word ""Wadala"" means the 'legislature', which is the king's court.",legislature,Medium
10,Historical Knowledge and Its Practical Application,In those inscriptions the word Sabhawa means the judiciary. The laws imposed in a country are implemented by the judiciary.,"What is the meaning of the word ""Sabhawa"" in inscriptions?"," ""judiciary"".", judiciary,Medium
10,Historical Knowledge and Its Practical Application,The laws are monitored among the people by the security officers. They implement the powers of the executive.,Who is responsible for monitoring the laws among the people?,The security officers.,Security officers ,Easy
10,Historical Knowledge and Its Practical Application,"Among them the inscriptions of this country, which belonged to the 1st and 2nd centuries A.D., mention the laws regarding the irrigation, administration and charging taxes for using lands of the state.",What is mentioned in the inscriptions of this country regarding the use of state lands?,"The laws regarding irrigation, administration, and charging taxes.","The laws regarding irrigation, administration, and charging taxes.",Hard
10,Historical Knowledge and Its Practical Application,One sixth of the production had to be paid to the government as tax.,What percentage of the production of land had to be paid to the government as tax?,One sixth.,One sixth,Medium
10,Historical Knowledge and Its Practical Application,Dakapathi (Sanskrit: Udakaprapthi)  the tax paid for using tank water.,What is the tax 'Dakapathi'?,The tax paid for using tank water.,tax paid for using tank water,Medium
10,Historical Knowledge and Its Practical Application,Bojakapathi (Sanskrit: Bhojakaprapthi)  the tax paid for cultivating the lands of the king.,What was the tax paid for cultivating the lands of the king named as?,Bojakapathi.,Bojakapathi.,Medium
10,Historical Knowledge and Its Practical Application,Mataramajibaka (Sanskrit: Mathrikamathsyabaga)  the tax paid for catching fish in water courses.,What was the tax paid for catching fish in water courses?,Mataramajibaka.,Mataramajibaka.,Medium
10,Historical Knowledge and Its Practical Application,"An inscription, which belonged to the 9th century, mentions that one nut out of ten of the harvest should be paid to the government as tax.",What was the practice of taxation mentioned in the inscription which belonged to the 9th century?,One nut out of ten of the harvest should be paid to the government as tax.,"""One nut out of ten""",Medium
10,Historical Knowledge and Its Practical Application,"When the commodities were imported from foreign countries, custom fees were charged at the harbour.",What happened when commodities were imported from foreign countries in ancient times?,Custom fees were charged at the harbour.,Custom fees were charged at the harbour,Medium
10,Historical Knowledge and Its Practical Application,An inscription... found at an ancient Buddhist temple in Godawaya... mentions that a custom fee charged by a fort which was situated close to the temple was offered to the temple.,What was offered to the ancient Buddhist temple in Godawaya?,A custom fee charged by a fort which situated near to the temple.,A custom fee charged by a fort which situated near to the temple.,Hard
10,Historical Knowledge and Its Practical Application,"An inscription made by king Gajabahu I, in Situlpawwa, mentions about such a high court. The inscription describes that the fines charged by the Great Hall of Justice in the area (Mahavinichahi Labanaka Watithi) were offered to the monks...",What is mentioned in the inscription made by King Gajabahu I in Situlpawwa about high court?,The inscription mentions the Great Hall of Justice and the fines charged by it.,Great Hall of Justice and the fines charged by it.,Medium
10,Historical Knowledge and Its Practical Application,The Kondawattawan inscription... mentions a law of charging a fine of five Kalan from those who did not plough their lands at the proper time.,What was the penalty for not ploughing one's land at the proper time according to the Kondawattawan inscription?,A fine of five Kalan.,A fine of five Kalan.,Medium
10,Historical Knowledge and Its Practical Application,This inscription describes the laws which were imposed by the king preventing some frauds afoot in a government market situated in a place called Hopitigamuwa.,What was the purpose of the laws imposed by the king in Hopitigamuwa?,To prevent frauds in the government market.,To prevent frauds in the government market.,Easy
10,Historical Knowledge and Its Practical Application,Twice the amount of taxes should be charged from those who do their business without showing to the officers.,What should be done to those who do business without showing to the officers?,Twice the amount of taxes should be charged.,Twice the amount of taxes should be charged.,Medium
10,Historical Knowledge and Its Practical Application,The unstandardized Madatiya weighing units should not be used in scaling goods in business.,Why should Madatiya weighing units not be used in business in ancient times?,They are unstandardized.,unstandardized.,Easy
10,Historical Knowledge and Its Practical Application,Aricanuts and betel should only be sold by keeping them in the huts made for them.,What is the recommended way to sell aricanuts and betel in Hopitigamuwa market?,They should only be sold by keeping them in the huts made for them.,huts made for them,Medium
10,Historical Knowledge and Its Practical Application,For the first time a law which said no animal should be killedù was imposed by King Amandagamini Abhaya (19-29 A.D.). It was known as Maghatha Law.,Who imposed the first law that prohibited the killing of animals?,King Amandagamini Abhaya.,King Amandagamini Abhaya,Medium
10,Historical Knowledge and Its Practical Application,"The Mihinthala inscription... mentions that a law was imposed to give the death sentence to those who kill buffalos, ox and cows, and goats.",What was the punishment for killing certain animals according to the Mihinthala inscription?,The death sentence was imposed.,Death sentence ,Medium
10,Historical Knowledge and Its Practical Application,King Nissankamalla... imposed a law stating that the birds living in reservoirs should not be killed.,Who imposed a law to protect birds in reservoirs?,King Nissankamalla.,King Nissankamalla,Easy
10,Historical Knowledge and Its Practical Application,"The Wewalkaetiya inscription, made by king Mihindu IV... provides us with descriptions on this.",Who created the Wewalkaetiya inscription?,King Mihindu fourth,King Mihindu fourth,Medium
