input_text,target_text
"task: emotion
chapter: 4. The Ancient Society of Sri Lanka
topic: Grade 10: Culture
source: From the time when Arahath Mahinda Thero arrived here in the 3rd century B.C and preached Buddhism, it had continually been the main religion of this country. Apart from this, with the arrival of Indian traders and others from India, Hindu religion too spread in this country. Christian religion and Islamic religion were introduced to Sri Lanka at recent times when it is compared to the spread of Buddhism. It was as a result of spread of trade in the Mediterranean region after the 6th century A.D. and in Western countries centered trade after the 16th century A.D. in Eastern countries. Soon after the arrival of Arahath Mahinda Thero and his followers, Buddhism and the rituals related to it spread rapidly in the society of this country. As there were no suitable monasteries for the daily increasing number of Bhikkus to stay, natural caves were cleaned and offered them to Bhikkus. More than 1600 caves offered in such a way to Bhikkus can be seen in different parts of the country. A suitable cave was found, cleaned, made a drip ledge in order to prevent water from coming inside during the rainy season and offered them to Bhikkus. In some caves the details of those who offered them have",harmony
"task: emotion
chapter: 10. Sri Lanka and the Western World
topic: Grade 10: Arrival of the Portuguese in Asia
source: There were three main routes through which Asia and Europe continued their trade relations from the distant past. 1. The Silk Route which led from the city of Constantinople through Persia, the Central Asia to China. 2. The route which led from Constantinople to Egypt through the Mediterranean Sea, Red Sea to the Indian Ocean. 3. The route which led from Constantinople through Bagdad, the Persian Gulf to the Western coast of India. They used ships in the sea and the caravans on land to transport the commodities when they made their trade relations. By the mediaeval period, the monopoly of trades in Asia was in the hands of the Muslims. The Muslims made a great profit by collecting the commodities including spices in Asia and selling them to Europeans. As all three trade routes above mentioned had connected with the city of Constantinople, that city which was under the European Christian believers, had become the main centre of the East and West trading. But, when this city was captured by the Turks who followed the Islam religion in 1453, it was a great blow to the traditional trading between Asia and Europe. The European Christians suffered a great loss, due to the capture of the ",adventurous
"task: emotion
chapter: 6. Receiving of Independence to Sri Lanka
topic: Development after Independence
source: After the independence in 1948 politicians of this country had the responsibility of handling the economy of the country that had been used for the benefit of the British colonists for the betterment of the people... [full text on post-1948 agricultural development (paddy: State Council efforts, D.S. Senanayake settlements, Gal Oya multi-purpose, Mahaweli project objectives,stages,fast-track 19771979, reservoirs,dams,canals); other paddy steps (guaranteed price, research,BG,BG varieties, Govijana Sewa Centres, bank loans); commercial crops (tea,rubber,coconut continuation, land reforms 1972,1975, state institutions, minor exports research); industrialization (no pre-independence focus, WWII import substitution, 1952 World Bank, 1955 white paper, Ekala,Ratmalana zones 1959,1960, Peoples Bank 1961, Standards Bureau 1966, import substitution 19701977, export-oriented post-1977 (GCEC 1978, Katunayake,Biyagama,Koggala zones), mega industries (cement,steel,sugar,plywood); education (free policy from Kannangara, post-1948: school expansion, curriculum,teacher training, labs,libraries, free books,meals,uniforms,transport, professional,higher education (Ceylon Univ 1942 ? Peradeniya 1952",hopeful
"task: sound_effects
chapter: 5.The Ancient Science and Technology in Sri Lanka
topic: Grade 10: Architecture
source: Many details of the ancient architecture are found when the ruins in Anuradhapura and Polonnaruwa kingdoms are examined. That displays to us how different artisans in the ancient time had made great architectural creations. You will study some of the best architectural creations here. Architecture  Many architectural creations such as Buddhist constructions, Stupas, Bodhigharas, Pilimageval, shrines, monasteries, alms halls, meditating cells, palaces, fortresses, and hospitals found from Anuradhapura and Polonnaruwa eras could be seen. T hose evidences show us that there were buildings from the ancient time in this country. Very advanced scientific knowledge and a training on technology would need to put that scientific knowledge into practice in constructing the buildings found in Anuradhapura such as Jethvanaramaya, Abhayagiriya, Ruwanweli Seya, and several storeyed Lovamahapaya. For example Ruwanweli Seya and the other Stupas, built in Anuradhapura in the North Central dry zone in Sri Lanka which gets heavy monsoon rains, may be vulnerable to lightning strikes at any time. But, there are neither historical nor archaeological evidences to prove that they were struck by lightning","stone_masonry, elephant_trumpets, thunder_rumble, hammer_on_anvil, gentle_wind, chime"
"task: sound_effects
chapter: 5. Social Changes in Sri Lanka   under the British
topic: Advantages of the British Reign
source: When Sri Lanka was a colony of British, its political and economic activities were handled in a way that all benefits went to colonists. Thus, Sri Lanka had been exploited for 133 years by the British. During this time they earned a vast wealth from the island to take to their country and used all resources of the island for their well being. Even under such conditions, there were certain benefits that the island could enjoy. Some examples are;  Spreading of English language in the island which was an international language  Development of transport and communication  Introduction of export plantation  Good effects of industrial revolution  Parliamentary system","telegraph_beep, gentle_wind_through_plantations, distant_temple_bells, chime"
"task: narrate
chapter: 8.  World Wars and Conventions
topic: League of Nations Union
source: The necessity of establishing an international organization to avoid such wars and maintain peace and security in the world was highlighted in the peace talks held in Paris in 1919... [full text on League of Nations (Jan 10 1920, 42 founding members, Woodrow Wilson pioneer); objectives (peaceful conflict resolution, prevent wars, international harmony, protect small nations sovereignty,freedom, collective security); successes (prevented Sweden-Finland, Germany-Poland, Greece-Bulgaria, Iran-Turkey wars; refugee rehabilitation; mandate supervision; anti-slavery,drugs); failures (U.S. non-membership, no enforcement power,military, disunity among powers, ignored Germany exit, ineffective vs. Italy Abyssinia,Japan Manchuria, led to WWII).]","League of Nations (1920, 42 members, Wilson initiative): objectivespeaceful dispute resolution, prevent wars, harmony, small nation protection. Successes: averted several wars (Sweden-Finland etc.), refugee aid, mandate oversight, anti-slavery,drugs. Failures: U.S. absence, Russia exclusion, no military,enforcement, member disunity, ignored aggressions (Japan Manchuria 1931, Italy Abyssinia 1935), failed to stop WWII."
"task: sound_effects
chapter: 4. The Ancient Society of Sri Lanka
topic: Grade 10: The Nature of Ruling
source: The historical sources say that kings ruled our country in the ancient times. The inscriptions mention very important information about the procedure of the statesmanship followed in ruling the country. There are three institutions which handle the ruling of any country. They are called the legislature, the executive and the judiciary. The government means these three institutions. The legislature is the institution which makes laws in a country. As it is done by the parliament of our country today, in the ancient time it was done by the kings court. The executive is the institution which implements laws. The government officers are engaged in that process. The judiciary provides the justice to the countrymen by preventing the damage caused to the society due to breach of law. In the ancient time there were an executive as well as a judiciary in our country. The executive acted as the legislature too. There was not an independent body as a separate legislature, because then there was monarchism in this country. The inscriptions written in 9th century A.D. had used the word Ekthensamiya to name the executive and the legislature. In an inscription in the place called Buddhannehela","majestic_horn, flowing_water, temple_bells, soft_chant, distant_horses"
"task: emotion
chapter: 3.National Renaissance in  Sri Lanka
topic: Hindu Religious Renaissance
source: There was a religious and a cultural renaissance among the Hindus of this country due to the challenge created to Hinduism as a result of the perpetuation of missionaries... [full text on Arumuga Navalar leading Hindu response: missionary school background, presses (Udayabhanu newspaper), Tamil textbooks, translations (Periya Puranam, Skandha Puranam), Wannaponai Shaiwa Prakasha College (1849), later schools (Shiwangala,Hindu Vidyalaya 1872); successors Sir Ponnambalam Ramanathan (voiced for Buddhists 1915) & Ponnambalam Arunachalam (Sri Lanka National Congress 1919 with Sinhalese).]",revival
"task: narrate
chapter: 9. Renaissance
topic: Grade 10: The Reasons for the Renaissance
source: The Renaissance affected much to transform the course of Europe. It transformed every section such as academic, political, economic and scientific. Reasons: Surrendering Constantinople by Turks (1453)Greek,Roman scholars fled to Europe with books, reviving ancient knowledge. Growth in trade,new rich (12th century)Italian cities (Venice,Genoa) wealthy merchants (e.g., Medici family in Florence) funded arts, free from feudal nobles. Intellectual revivalnew universities taught literature,drama,history,phonetics; Gutenbergs printing press (1454) spread books, boosting Greek,Roman interest. Criticism of Churchthinkers like John Wycliffe (England), Jan Hus (Bohemia), Erasmus (France), Martin Luther (Germany) exposed corruption, challenging religious dominance. Transformations: Academicrevival of Greek,Latin, humanism (man-centered, critical thinking over theology). LiteratureDante (Divine Comedy), Petrarch (Sonnets to Laura), Boccaccio (Italy); Thomas More, Francis Bacon, Shakespeare (England); Erasmus (France). Artsshift from religious to worldly,nude figures; painters Leonardo da Vinci (Mona Lisa, Last Supper), Michelangelo (Sistine Chapel ceiling,Last Judgment), Raphael; sculp","Renaissance (15th16th centuries) reborn Europe from medieval stagnation. Causes: Fall of Constantinople (1453)scholars fled with Greek,Roman books, reviving classics. Trade boom,new richItalian merchants (Medici in Florence) funded arts. Intellectual revivaluniversities taught secular subjects; Gutenberg printing (1454) spread knowledge. Church criticismWycliffe, Hus, Erasmus, Luther exposed corruption. Impacts: AcademicGreek,Latin,humanism revival (man noble, critical thinking). LiteratureDante (Divine Comedy), Petrarch, Boccaccio (Italy); More,Bacon,Shakespeare (England); Erasmus (France). Artsworldly,nude focus; Leonardo (Mona Lisa,Last Supper), Michelangelo (Sistine,Last Judgment,David,Pieta), Raphael. ArchitectureRoman arches,columns,domes (St. Peters,Florence Cathedral). Scienceexperimentation. Politicalnational states, strong kings, middle class rise. Economictrade,currency,banks; explorations (new routes,lands). GlobalItaly start ? Europe ? colonies (Asia,Africa,America), spreading printing,education,Christianity,architecture,science."
"task: emotion
chapter: 10. Sri Lanka and the Western World
topic: Grade 10: Political Condition in Sri Lanka when the Portuguese Arrived
source: There was a commercial and military importance to Sri Lanka in the Asian affairs of the Europeans as Sri Lanka was a significant centre situated close to the sea trade routes in the Indian Ocean. The Portuguese, who had recognized this country as Seilan, knew that this country produced cinnamon of good standard. T herefore, the Portuguese paid their attention to Sri Lanka within a short time period after they had come to India. In the month of March in1505, the king of Portugal sent Francisco De Almeida appointing him as the viceroy in East. Finding Seilan (Sri Lanka) was one among the instructions that had been given to Almeida by the Portuguese ruler. His purpose was achieved when Lorenzo De Almeida, a son of Francisco De Almeida, reached this country accidentally after being caught in a tempest. When Lorenzo De Almeida arrived in this country in 1505, there was a conducive background set for a foreign invasion as there was not a political unity in Sri Lanka. Though king Parakramabahu VI had united the country and created a political stability by establishing Kotte Kingdom, that unity collapsed after a certain time of his demise. Therefore, when the Portuguese arrived, there were",defiant
"task: sound_effects
chapter: 1.Sources of Studying History
topic: Grade 10: Classification of Sources
source: History is a subject which studies the past human activities. When we study the history of hundreds and thousands of years back, we find writings and various creations made by people who lived in those ages. They are called sources because information about past human activities can be extracted from them. The sources, which belonged to each different age, provide us a good understanding about those eras and their social backgrounds. Thus, when the information taken from those sources are studied logically, the history about peoples lives in each period is formed. As there are a number of sources which are available to study history, they are mainly divided into two; 1. Literary sources 2. Archaeological sources Books and documents written at different time periods by the people who lived in the past are considered literary sources. Relics, monuments, coins, inscriptions and various ruins which are unearthed from archaeological excavations and experiments are called archaeological sources. Next, lets discuss the above mentioned two types further using the sources which are helpful to study the history of Sri Lanka. 1. Literary Sources The literary sources, which can be used","soft_background_music, distant_digging, gentle_wind, chime"
"task: emotion
chapter: 5.The Ancient Science and Technology in Sri Lanka
topic: Grade 10: Indigenous Knowledge
source: Measure and Calculation - There was knowledge, in our ancient society, relevant to the fundamentals that existed in the nature by understanding them from such an old time. One indicator which shows that there exists scientific knowledge in a certain society is that there is a methodology to measure the physical situations which belong to the nature. Our ancient measurements can be introduced as examples for them. Measuring the space - Our ancient people needed to measure the space when they used land for farming. Therefore, suitable measurements for that were prepared with the help of farming. T hey used the measurements such as Kiriya, Amuna, Karisaya, Pela. A field of one Karisa means a place where one Karisa of paddy can be sown. One Karisa is equal to four Amunas. One Amuna is equal to two acres field. Having a multiple link in measurements in this way is an advanced mathematical feature. The fact that should be taken into consideration here is that to measure the space the ancient people of this country had used units which are used to measure the volume. Look at the cycle given below. T here is a description of a land which has a reference that one Karisa was offered to a Stu",wonder
"task: narrate
chapter: 3.National Renaissance in  Sri Lanka
topic: Buddhist Renaissance
source: There was a necessity of replying to what the missionaries said about traditional religions... [full text on Buddhist response to missionaries (criticism of statue worship), need for native language education; Parama Dhamma Chethiya Pirivena (Walane Siddhartha), Vidyodaya (Hikkaduwe Sumangala 1873), Vidyalankara (Ratmalane Dhammaloka 1875); publishers (Lankopakara 1862 Galle, others); magazines,newspapers (Lakmini Pahana, Sarasavi Sandaresa etc.); public debates (Migettuwatte Gunananda, Five Great Debates 18651873, Panadura 1873 ? Olcott); Buddhist schools (Olcott,Colombo Buddhist Theosophical Society 1880, Ananda,Dharmaraja,Mahinda etc.); Vesak holiday,Buddhist flag; patriotism,nationalism (Dharmapala,Harischandra,Sirisena,De Silva); protection of sacred places (Anuradhapura,Polonnaruwa, Ruwanweli Seya ~1870); temperance movement (against alcohol via preaching,novels,drama).]","Buddhist response to missionaries (statue worship criticism, native language education need): Pirivenas (Parama Dhamma Chethiya, Vidyodaya 1873, Vidyalankara 1875) ? educated monks,lay scholars. Publishers (Lankopakara 1862) ? magazines (Sarasavi Sandaresa etc.). Debates: Migettuwatte Gunananda led Five Great Debates (Baddegama 1865Panadura 1873); Panadura influenced Olcott. Buddhist schools via Olcott,Theosophical Society 1880 (Ananda,Dharmaraja,Mahinda etc.). Vesak holiday,Buddhist flag. Patriotism: Dharmapala,Harischandra,Sirisena,De Silva via media. Sacred site protection (Anuradhapura,Polonnaruwa,Ruwanweli). Temperance: anti-alcohol via preaching,novels (Sirisena),drama (De Silva)."
"task: narrate
chapter: 8.  World Wars and Conventions
topic: United Nations Organization
source: While World War II was going on, the British Prime Minister, Winston Churchill and the USA President, Franklin Roosevelt signed the Atlantic convention in August 1941... [full text on Atlantic Charter 1941 ? United Nations name Jan 1942 (26 nations); Moscow,Teheran discussions 1943; San Francisco Conference June 1945 (50 nations + Poland = 51 founders); official start Oct 24 1945 (UN Day); objectives (peace,security, friendship, human rights,independence); structure (6 organs: General Assembly, Security Council, Economic,Social Council, Trusteeship Council (inactive post-1994), ICJ, Secretariat); General Assembly (193 members, annual Sept session, equal vote, discuss peace,recommendations, budget, appoint Secretary-General,ICJ judges,admit members); Security Council (15 members: 5 permanent veto powerU.S.,Russia,U.K.,France,China, 10 non-permanent 2 years, binding decisions, peaceful settlement,economic sanctions,military action); ECOSOC (54 members 3 years, economic,cultural,education,health, affiliates ILO,FAO,UNESCO,IMF,WHO,UNICEF); Trusteeship Council (11 territories, all independent by 1994, inactive); ICJ (Hague, judges from member highest courts,international law experts, a","UN origins: Atlantic Charter 1941 ? UN name Jan 1942 (26 nations); San Francisco June 1945 (50+Poland=51); Oct 24 1945 start. Objectives: peace,security, friendship, human rights,independence. Organs: General Assembly (193 members, equal vote, recommendations,budget,appointments); Security Council (15: 5 permanent veto, 10 non-permanent, binding decisions,sanctions,peacekeeping); ECOSOC (economic,social,affiliates); Trusteeship (inactive); ICJ (Hague, disputes,advice); Secretariat (NY, Secretary-General). Efforts: Atomic Commission, prevented wars, refugees, mandates, anti-slavery,drugs; Security Council mediation,sanctions,peacekeeping."
"task: narrate
chapter: 3.National Renaissance in  Sri Lanka
topic: Background of the National Renaissance
source: The Europeans tried to spread their religion and culture in the areas they conquered in Asia in order that they have a loyal group of people in those countries. When the Portuguese and the Dutch governed the coastal regions of the country, they had to restrict their religious and cultural activities to the areas they governed, because there was an independent kingdom in the upcountry. Doors opened for the western culture to spread under the British reign throughout the country, with the submission of the upcountry. ? Activities of Missionary Organizations Several foreign organizations that came to Sri Lanka during the British reign started spreading Catholicism in the country. They are called as missionary organizations. Given below are some such missionary organizations that came to this country from 1804 to 1818. These missionary group members engaged themselves in activities of spreading religion in different areas of the country. Baptists functioned from Colombo. Wesleyans worked in the North and the East. The American missionary organization worked in the North including Jaffna. Church missionaries functioned in Colombo, Galle, Kalpitiya, Mannar and Kandy. They used the three ","British conquest (1815) opened entire island to Western influence (previously limited to coasts by Kandyan independence). Missionary groups (18041818) spread Christianity: Baptists (Colombo), Wesleyans (North,East), American Mission (Jaffna,North), Church Mission (Colombo,Galle,Kalpitiya,Mannar,Kandy). Methods: 1. Writing: Learned Sinhala,Tamil, translated Bible, printed books,magazines,newspapers. 2. Preaching: Sermons in temples,public places. 3. Education: Mission schools emphasized Christianity + English (key for government jobs), aided by colonial government."
"task: narrate
chapter: 5.The Ancient Science and Technology in Sri Lanka
topic: Grade 10: Water Management
source: Since the oldest settlements in our country had distributed in the dry zone, the major challenge that those people had to face was collecting sufficient water for agricultural activities and their day-to-day needs. The need of constructing tanks, ponds and canals arose on this ground. T he term water management is the most suitable one to name any strategy used to gather water. We can understand the nature of the marvellous knowledge of our scientists and engineers who lived in the ancient time by looking at activities that they have done for water management. Constructing large tanks  One of the great activities in our historical age was making large tanks. These large tanks were built based on multiple-facts such as making agricultural activities successful, controlling floods, and meeting the needs of the urban people. Constructing large scale tanks is a technical attempt with a very complex scientific knowledge. Some names of the large scale tanks constructed during the Anuradhapura era have been given below. After understanding their magnitude, you will easily realize the fact that how much of scientific knowledge is needed to construct and maintain such tanks after they ar","In Sri Lankas dry zone, ancient engineers mastered water management to support agriculture and cities through massive tanks, bunds, sluices, canals, and fountains. Tank bunds were built on rock between hills (e.g., Yodha Wewa bund 7 miles long, 44 ft high), layered with compacted clay, soil, gravel, and kirimeti for strength, beaten by elephants. Ralapanawa stone linings protected bunds from wave erosion. Sluices (Sorowwa) with stone slabs (Diyaketa Pahana) and Bisokotuwa valves controlled pressure release, reducing flood risk, with mud sluices clearing silt. Canals like Elahera (from Amban Ganga to Minneriya, Giritale, etc.) and Minipe diverted rivers. Monastic ponds (Kuttam Pokuna, Eth Pokuna) and clay-lined wells (Uraketa Lin) ensured clean water. Sigiriyas fountains used natural pressure from 600 ft height, with adjustable stone orifices varying jet height, spiral gutters for sedimentation, and filtersstill working in rain today."
"task: sound_effects
chapter: 2.Establishment of British Power in Sri Lanka
topic: Arrival of British in Asia
source: The English who noticed that the Portuguese and the Dutch people were earning a lot of profit from the trade activities in Asia, also paid their attention to Asia. As a result, a group of English businessmen established the East India Trade Company in December 1600, by a royal warrant obtained from Queen Elizabeth I to do trade activities in Asia. The first fleet of ships of this company had gone to Sumatra islands and started trade. Then, another fleet of ships came to India under William Hokins and conducted discussions about trade with the Mughal emperor, Jahangir. At the beginning of their visits to Asia, the English tried to tighten their trade relations with Southeast Asian region. There had been fights between the Portuguese and the Dutch to claim the trade power in Southeast Asia during the first two decades of the 17th century. At certain occasions, the English have given their assistance to the Dutch against the Portuguese. The Dutch never expected to see the English developing a power in Southeast Asian islands where spices grew well, although they obtained the help of the English to fight their common enemy, the Portuguese. Because of this, in 1623, the Dutch attacked a","ocean_waves, ship_creak, distant_cannon, market_chatter, gentle_wind, chime"
"task: emotion
chapter: 3. Evolution of Political Power in Sri Lanka.
topic: Grade 10: The Concept of State
source: The king, created by the centralized political power, is an extremely powerful person. T herefore, the king had appeared before the people in a majestic form. The rulers thought their duty was developing the country economically, providing security to the countrymen, and enhancing spiritual development of the people. Providing security on the occasions of threats from foreign enemies, developing the economy by constructing irrigation and enhancing peoples spirituality by building religious places were some examples. The history provides evidence to prove how even kings such as Elara and Nisshankamalla, who had foreign origin, acted in the above described way and won the trust of the people. Different concepts about kingship developed according to the actions of the king and the way that they attempted to appear. Accordingly, concepts like Devathwa, Bodhisathwa, Parvatharaja, Veerathwa, and Chakravarthi were applied to the kings. Most frequently the king appeared either as a Bodhisathwa or as a god. The king Kutakanna Abhaya, who made the inscription in a rock in Dambulla temple, has introduced him by the name of Nareshvara (Naraisera). Its meaning is god Eeshwara for humans. Kin",awe
"task: emotion
chapter: 4. Political Changes in Sri Lanka under the British
topic: 1910 Reforms and Background
source: Demands of the Sri Lankan Middle Class During the 19th century a significant change occurred in the economy and the society due to the Colebrooke reforms... [full text on middle class demands 19081909 (James Peiris petition, Low Country Products Association,Chilaw,Jaffna Clubs): increase unofficial members, end nationalist representation, provincial elections, more Legislative Council power. McCallum opposed. 1910 Crew-McCallum Constitution (1912): Legislative Council 21 members (11 official, 10 unofficial: 6 nominated by ethnicity, 4 elected limited franchise2 Europeans, 1 Burgher, 1 educated Ceylonese). Ponnambalam Ramanathan elected educated member 1912. Temperance Movement 19121915 (protest new excise ordinance,toddy bars; middle class + religious activists; protests vs. government; suppression 1915 riots; leaders F.R.,D.S. Senanayake,D.B. Jayatilaka entered politics). Indian Nationalist influence (Gandhi,Nehru visits, Swarajya inspiration ? organized protests post-1915). Ceylon National Congress (Dec 1919, Ponnambalam Arunachalam president) united ethnic groups for political power. Manning Reforms 1920: Legislative Council 37 (14 official, 23 unofficial: 7 nominated, 16 ele",hopeful
"task: sound_effects
chapter: 4. Political Changes in Sri Lanka under the British
topic: Colebrooke Reforms of 1833
source: When the British governors ruled the country after 1815, the expenditure exceeded the income of the government... [full text on Colebrooke (1829) & Cameron (1830) commissions due to financial burden; 1833 reforms: Executive & Legislative Councils (15 members: 9 official, 6 unofficial by ethnicitySinhala,Tamil,Burgher,European), nationalist representation issues; combined up,low country rule; 5 provinces; repeal compulsory service; end government trade monopoly. Executive Council limited governors financial power. European struggles (1865 Lanka Congress,George Wall) ? unofficial members increased to 8 (added upcountry Sinhala & Muslim).]","distant_ocean_waves, quill_on_paper, gentle_wind, chime"
"task: narrate
chapter: 5.The Ancient Science and Technology in Sri Lanka
topic: Grade 10: Early Stages of Scientific Ideas
source: By identifying what Sri Lankans did from ancient time, we can realize the nature of the vision, which was the background of those work. When some of such activities are examined carefully, it is clear that some of such things had been done thinking scientifically. When working with nature, being knowledgeable on its fundamentals, is necessary. T he success of the activities from making a tomb to constructing huge irrigation systems depends on understanding fundamentals of the nature correctly, which is needed to keep them for a longtime. In this chapter we will discuss the scientific ideas that existed in Sri Lanka and the nature of the technical approaches which were followed to put those scientific ideas into practice. We have seen that when something is thrown up, it falls down. It is a characteristic of the nature. There is a fundamental which affects that characteristic. Scientists introduce it as gravitation. Scientists have proved through experiments that everything is attracted in a certain space limit on earth. If someone wants to find its truth, he or she can experiment and substantiate it. That is the nature of science. T he normal order, which is followed in doing somet","Ancient Sri Lankans applied scientific ideas long before modern science, understanding natures fundamentals like gravity (perpendicular walls for balance) and oxygen for burning. Prehistoric (28,000 years ago): Symmetrical stone tools using pressure slating on hard alabaster. Proto-historic era: Clay tub burials (1350 BC) with air tubes for cremation (oxygen insight 3,000+ years before 18th-century discovery); perpendicular walls in tombs and Udaranchamadama house (1129 BC) for stability, wattle-and-daub construction with reinforced clay floors. Pottery: Potters wheel (Sakaporuwa), black-red pots by controlling oxygen with chaff, refined clay like porcelain using sedimentation, orange-white painted pots from ochreall showing advanced material science disappearing after 300 BC."
"task: sound_effects
chapter: 2. Ancient Settlements
topic: Grade 10: Settlements in the Pre-historic Era
source: The period which was before the past that is described by the literary sources is commonly named as 'the pre-historic era'. Two cultural stages belonged to the pre-historic era of Sri Lanka; the first one was the Stone Age which existed for a long time; the second was the period in which there was more tendency of man towards depending on herbal food, use of metals and the beginning of living in permanent settlements. Among these, the word prehistoric era is used to introduce the Stone Age and the word proto-historic era is used to introduce the second period. Expansion of Settlements Settlements in Sri Lanka were made by the early Homo Sapien man. Homo Sapien expanded his living in a wide geographical area by adapting himself to different climatic zones in this country. Their main dependency method was gathering food by roaming and hunting. There are many places where evidence, belonging to the Stone Age in Sri Lanka, is found. The first one is Rathnapura and the gem mines located around Rathnapura. The stone tools used by these people who lived in a distant age and the bones of some extinct animals are deposited in the layers of soil mixed with gravel , which is called lode found","soft_background_music, gentle_wind, stone_chipping, distant_animal_calls, chime"
"task: emotion
chapter: 2.Establishment of British Power in Sri Lanka
topic: British Conquest
source: Three distinguished stages can be seen in the colonization of Sri Lanka by the British... [full text on three stages: 1796 coastal capture by East India Company; 1802 coastal areas become British Crown colony; 1815 hill country conquest. Coastal takeover (1796) via Kew Letter (Dutch governor allows entry to block French); Trincomalee first, then Batticaloa,Jaffna,Colombo,Galle. Madras-style administration 17961798 (Resident,collectors,Kachcheri,Avumildars from Madras, ignoring locals). 1797 rebellion (new taxes e.g. coconut tree tax) suppressed ? Meuron Commission proposals (local officers, remove taxes, separate revenue,judiciary). Dual administration 17981802 (Governor Frederick North + Company revenue). 1802 Crown colony. Hill conquest: 1803 invasion fails (epidemics,supply issues, puppet Muttusami captured). Maitland,DOyly strategy (DOyly learns culture, wins aristocrats). 1815 invasion: Sri Wickrama Rajasinghes cruelty (Ehalepola massacre) alienates people,aristocrats,monks. Brownrigg exploits discontent, people dont resist. King captured Feb 18, 1815. Kandyan Convention (March 2,10, 1815) signed with chiefs: King deposed, British sovereignty, protect Buddhism,customs,ar",somber
"task: sound_effects
chapter: 6. Receiving of Independence to Sri Lanka
topic: Social Welfare
source: Even the very poor people received a political value because Sri Lanka got the universal franchise in 1931... [full text on universal franchise 1931 giving political value to poor ? politicians focused on public needs; post-1948 social justice,inequality solutions: rural education, merit-based jobs, constitutional rights,freedom,sovereignty, agriculture,fisheries support. Health: rural hospitals, midwifery,maternity,paediatric, immunization, clinics, indigenous medicine ? decline in influenza,filariasis,malaria,TB,polio. Transport,communication: rural roads extended city benefits (water,electricity). Food concessions (rice Hal Potha coupon book ? 1977 stamps) due to WWII,import issues,poverty,land scarcity. Housing: urban flats,complexes, rural aid,projects.]","gentle_wind, temple_bells, chime"
"task: narrate
chapter: 1.Sources of Studying History
topic: Grade 10: Protecting Archaeological Sources
source: When we consider the long history of Sri Lanka, expansion of ancient population, and the number of people who had lived in this country, what remains here for us as archaeological sources today is only the creations made of long lasting raw materials such as stone, metal and clay; or large scale creations such as tanks and canals. T here is a possibility of these valuable sources getting destroyed due to speedy urbanization, expansion of settlements, constructing roads, constructing buildings, and agricultural activities happening in the country. Today we see historical places, monuments and antiquities because our ancestors had protected them. Therefore, it is a responsibility of the citizens of the country to protect them as the present generation. T here are different types of ancient marks inscribed on the rocky surfaces in various areas in Sri Lanka. Among them various figures such as, Sun and Moon, Palmyra- fan, bow, arrow, conch, ox-hoof, tusker- step, figures of various animals are marks that show the ancient borders of areas; or they are an ancient form of communication as the present road signs. Some people dig out and destroy the places where there are these marks and mo","Sri Lanka has a very long history, but only some remains of the past have survived until today. These archaeological sources are usually made from strong materials like stone, metal, and clay, or they are large creations such as tanks and canals. Today, these valuable sources are in danger because of rapid urbanization, new settlements, road building, construction work, and farming activities. We are able to see historical places, monuments, and antiquities today because our ancestors protected them. In the same way, it is our duty to protect them for the future. In different parts of Sri Lanka, there are ancient marks carved on rock surfaces. These include symbols like the sun, moon, palmyra fan, bow, arrow, conch, ox hoof, elephant step, and animal figures. These may have been used to mark borders or to communicate, like road signs today. Some people damage these places, moonstones, guard stones, stone pillars, and other antiquities because they wrongly think treasures are buried there. Also, writing and drawing on historical places damages them. Such acts are against the law and can be punished. Therefore, students must understand the value of antiquities and help protect them."
